community;code;lat;long;facilitated_species;nurse;n;canopy_percent;gap_percent;site;Axis1;Axis2;Axis3;genus;sp;sub_sp;recruit_sp;centroid_pca1;centroid_pca2;mode_pca1;mode_pca2;centroid_dist2d;mode_dist2d
4;SNEV04;37.02325;-3.008972;Cistus_albidus;open;27;59.86;40.14;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;0.93439238947851;2.00597599444708;0.17592925251597;Cistus;albidus;NA;Cistus albidus;2.505466931;1.150790677;2.528327135;1.129094504;1.78874736678884;1.81921662296422
4;SNEV04;37.02325;-3.008972;Thymus_mastichina_mastichina;open;5;59.86;40.14;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;0.93439238947851;2.00597599444708;0.17592925251597;Thymus;mastichina;mastichina;Thymus mastichina;2.415520476;1.430714478;2.438424444;1.43033643;1.58891982837014;1.61042644327053
4;SNEV04;37.02325;-3.008972;Helichrysum_italicum_serotinum;open;2;59.86;40.14;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;0.93439238947851;2.00597599444708;0.17592925251597;Helichrysum;italicum;serotinum;Helichrysum italicum;1.304317144;1.655682302;1.366387892;1.712518318;0.509460494028728;0.522242780768212
4;SNEV04;37.02325;-3.008972;Ruta_montana;open;3;59.86;40.14;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;0.93439238947851;2.00597599444708;0.17592925251597;Ruta;montana;NA;Ruta montana;1.464948516;1.737252709;1.444454709;1.715167217;0.594728515821262;0.587139944847826
4;SNEV04;37.02325;-3.008972;Quercus_rotundifolia;open;5;59.86;40.14;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;0.93439238947851;2.00597599444708;0.17592925251597;Quercus;rotundifolia;NA;Quercus rotundifolia;2.732264092;1.283547636;2.706683197;1.301862296;1.93758751849202;1.90703718022644
4;SNEV04;37.02325;-3.008972;Ptilostemon_hispanicus;open;0;59.86;40.14;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;0.93439238947851;2.00597599444708;0.17592925251597;Ptilostemon;hispanicus;NA;Ptilostemon hispanicus;1.163922655;1.01982579;1.146960232;1.008788061;1.01250993502355;1.01959249815144
4;SNEV04;37.02325;-3.008972;Clematis_flammula;open;1;59.86;40.14;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;0.93439238947851;2.00597599444708;0.17592925251597;Clematis;flammula;NA;Clematis flammula;0.646177238;-0.542545564;0.59652714;-0.539151148;2.56476706689152;2.56745498461532
4;SNEV04;37.02325;-3.008972;Teucrium_compactum;open;0;59.86;40.14;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;0.93439238947851;2.00597599444708;0.17592925251597;Teucrium;compactum;NA;Teucrium compactum;-0.175340437;2.293543803;-0.20062404;2.299676108;1.14638657994584;1.17240012448274
5;SNEV05;37.060722;-3.011806;Genista_cinerea;open;6;60.87;39.13;Sierra Nevada, mid-elevation mica schists (Ragua 2)  ;-0.0662905577221743;2.4080191683451;0.199887211469691;Genista;cinerea;NA;Genista cinerea;-1.776771801;0.86895797;-1.773592453;0.919684346;2.30096837350206;2.2649548130204
5;SNEV05;37.060722;-3.011806;Thymus_mastichina_mastichina;open;10;60.87;39.13;Sierra Nevada, mid-elevation mica schists (Ragua 2)  ;-0.0662905577221743;2.4080191683451;0.199887211469691;Thymus;mastichina;mastichina;Thymus mastichina;2.415520476;1.430714478;2.438424444;1.43033643;2.66730396934351;2.68876566043047
5;SNEV05;37.060722;-3.011806;Thymus_zygis_gracilis;open;6;60.87;39.13;Sierra Nevada, mid-elevation mica schists (Ragua 2)  ;-0.0662905577221743;2.4080191683451;0.199887211469691;Thymus;zygis;gracilis;Thymus zygis;2.068415395;1.86383238;2.175804002;1.846253538;2.20297725026766;2.31139971406349
5;SNEV05;37.060722;-3.011806;Quercus_rotundifolia;open;0;60.87;39.13;Sierra Nevada, mid-elevation mica schists (Ragua 2)  ;-0.0662905577221743;2.4080191683451;0.199887211469691;Quercus;rotundifolia;NA;Quercus rotundifolia;2.732264092;1.283547636;2.706683197;1.301862296;3.01601464759973;2.98545917249161
5;SNEV05;37.060722;-3.011806;Teucrium_compactum;open;1;60.87;39.13;Sierra Nevada, mid-elevation mica schists (Ragua 2)  ;-0.0662905577221743;2.4080191683451;0.199887211469691;Teucrium;compactum;NA;Teucrium compactum;-0.175340437;2.293543803;-0.20062404;2.299676108;0.158102768607644;0.172579556106245
5;SNEV05;37.060722;-3.011806;Adenocarpus_decorticans;open;5;60.87;39.13;Sierra Nevada, mid-elevation mica schists (Ragua 2)  ;-0.0662905577221743;2.4080191683451;0.199887211469691;Adenocarpus;decorticans;NA;Adenocarpus decorticans;0.163479582;2.082917198;0.129475453;2.069234019;0.398102509700972;0.391279578269624
5;SNEV05;37.060722;-3.011806;Genista_umbellata_equisetiformis;open;1;60.87;39.13;Sierra Nevada, mid-elevation mica schists (Ragua 2)  ;-0.0662905577221743;2.4080191683451;0.199887211469691;Genista;umbellata;equisetiformis;Genista umbellata;3.257304549;0.031745985;3.232227947;0.033447926;4.08570173597053;4.06433425187532
6;SNEV06;37.102278;-3.024278;Cytisus_galianoi;open;51;45.01;54.99;Sierra Nevada, high-elevation mica schists (Ragua 3)  ;-1.52599332149488;2.29876565242212;-0.491905898827539;Cytisus;galianoi;NA;Cytisus galianoi;-1.528025014;2.244343922;-1.518307196;2.235837414;0.0544596411719118;0.063395896681365
6;SNEV06;37.102278;-3.024278;Thymus_zygis_gracilis;open;1;45.01;54.99;Sierra Nevada, high-elevation mica schists (Ragua 3)  ;-1.52599332149488;2.29876565242212;-0.491905898827539;Thymus;zygis;gracilis;Thymus zygis;2.068415395;1.86383238;2.175804002;1.846253538;3.62062715184458;3.72935257624331
6;SNEV06;37.102278;-3.024278;Helichrysum_italicum_serotinum;open;2;45.01;54.99;Sierra Nevada, high-elevation mica schists (Ragua 3)  ;-1.52599332149488;2.29876565242212;-0.491905898827539;Helichrysum;italicum;serotinum;Helichrysum italicum;1.304317144;1.655682302;1.366387892;1.712518318;2.90244957349477;2.95119552407074
6;SNEV06;37.102278;-3.024278;Genista_versicolor;open;6;45.01;54.99;Sierra Nevada, high-elevation mica schists (Ragua 3)  ;-1.52599332149488;2.29876565242212;-0.491905898827539;Genista;versicolor;NA;Genista versicolor;-0.339352785;1.92443476;-0.545923271;1.874527363;1.24428267683609;1.06794917018032
7;SNEV07;37.0375;-3.573444;Rosmarinus_officinalis;open;9;38.93;61.07;Sierra Nevada, low-elevation dolomites (Padul 1) ;0.383630753227157;1.19298861716252;-1.47647733813706;Rosmarinus;officinalis;NA;Rosmarinus officinalis;1.510475488;2.029982619;1.494887424;2.00235949;1.40368729259661;1.37476274248862
7;SNEV07;37.0375;-3.573444;Thymus_granatensis_granatensis;open;8;38.93;61.07;Sierra Nevada, low-elevation dolomites (Padul 1) ;0.383630753227157;1.19298861716252;-1.47647733813706;Thymus;granatensis;granatensis;Thymus granatensis;0.648942546;0.947525499;0.664617767;0.912359501;0.361445002403421;0.397122654537787
7;SNEV07;37.0375;-3.573444;Ulex_parviflorus_parviflorus;open;6;38.93;61.07;Sierra Nevada, low-elevation dolomites (Padul 1) ;0.383630753227157;1.19298861716252;-1.47647733813706;Ulex;parviflorus;parviflorus;Ulex parviflorus;1.620235348;1.110794103;1.438859605;1.014676119;1.23933323281986;1.07018843042466
7;SNEV07;37.0375;-3.573444;Cistus_clusii_clusii;open;0;38.93;61.07;Sierra Nevada, low-elevation dolomites (Padul 1) ;0.383630753227157;1.19298861716252;-1.47647733813706;Cistus;clusii;clusii;Cistus clusii;1.83994143;1.686290729;1.870730495;1.665570978;1.53759154551067;1.56038448138771
7;SNEV07;37.0375;-3.573444;Argyrolobium_zanonii_zanonii;open;1;38.93;61.07;Sierra Nevada, low-elevation dolomites (Padul 1) ;0.383630753227157;1.19298861716252;-1.47647733813706;Argyrolobium;zanonii;zanonii;Argyrolobium zanonii;-1.020700156;-0.106770473;-1.132688711;-0.171802944;1.91350960150998;2.04006880350016
7;SNEV07;37.0375;-3.573444;Coris_monspeliensis_monspeliensis;open;4;38.93;61.07;Sierra Nevada, low-elevation dolomites (Padul 1) ;0.383630753227157;1.19298861716252;-1.47647733813706;Coris;monspeliensis;monspeliensis;Coris monspeliensis;1.343067691;1.069427505;1.351832899;1.07043325;0.967360628722179;0.975927872898135
7;SNEV07;37.0375;-3.573444;Fumana_ericoides;open;13;38.93;61.07;Sierra Nevada, low-elevation dolomites (Padul 1) ;0.383630753227157;1.19298861716252;-1.47647733813706;Fumana;ericoides;NA;Fumana ericoides;1.763155336;1.619939741;1.842470343;1.557243719;1.44408287041315;1.50362719046419
7;SNEV07;37.0375;-3.573444;Helianthemum_syriacum;open;9;38.93;61.07;Sierra Nevada, low-elevation dolomites (Padul 1) ;0.383630753227157;1.19298861716252;-1.47647733813706;Helianthemum;syriacum;NA;Helianthemum syriacum;2.64839933;-0.169017024;2.784328254;-0.556965447;2.64277052974643;2.97080590360527
7;SNEV07;37.0375;-3.573444;Lavandula_lanata;open;0;38.93;61.07;Sierra Nevada, low-elevation dolomites (Padul 1) ;0.383630753227157;1.19298861716252;-1.47647733813706;Lavandula;lanata;NA;Lavandula lanata;1.262390986;1.95106634;1.279061938;1.945879219;1.1605608043379;1.1698894242615
7;SNEV07;37.0375;-3.573444;Polygala_rupestris;open;0;38.93;61.07;Sierra Nevada, low-elevation dolomites (Padul 1) ;0.383630753227157;1.19298861716252;-1.47647733813706;Polygala;rupestris;NA;Polygala rupestris;1.488244108;0.938489076;1.420100093;0.969254648;1.1335522396407;1.06034220006862
7;SNEV07;37.0375;-3.573444;Quercus_rotundifolia;open;1;38.93;61.07;Sierra Nevada, low-elevation dolomites (Padul 1) ;0.383630753227157;1.19298861716252;-1.47647733813706;Quercus;rotundifolia;NA;Quercus rotundifolia;2.732264092;1.283547636;2.706683197;1.301862296;2.35037858565127;2.32560231648977
7;SNEV07;37.0375;-3.573444;Halimium_atriplicifolium_atriplicifolium;open;1;38.93;61.07;Sierra Nevada, low-elevation dolomites (Padul 1) ;0.383630753227157;1.19298861716252;-1.47647733813706;Halimium;atriplicifolium;atriplicifolium;Halimium atriplicifolium;1.887249378;1.245648554;1.852099559;1.220913849;1.50454047393598;1.46873430275904
8;SNEV08;37.043028;-3.526278;Rosmarinus_officinalis;open;2;33.28;66.72;Sierra Nevada, mid-elevation dolomites (Padul 2)  ;-0.185971930954168;1.39444964747244;-1.43689062083347;Rosmarinus;officinalis;NA;Rosmarinus officinalis;1.510475488;2.029982619;1.494887424;2.00235949;1.8115838382959;1.78741224897303
